id,name,salary,managerId,departmentId,email
1,Ana,9000,,1,ana@corp.com
2,Bruno,8500,1.0,1,bruno@corp.com
3,Carla,8500,1.0,1,carla@corp.com
4,Diego,7800,2.0,1,diego@corp.com
5,Elisa,7200,2.0,1,elisa@corp.com
6,Fabio,5000,,2,fabio@corp.com
7,Gabi,4800,6.0,2,gabi@corp.com
8,Henrique,4600,6.0,2,henrique@corp.com
9,Iara,6500,,3,iara@corp.com
10,Joao,6200,9.0,3,joao@corp.com
11,Kelly,6200,9.0,3,kelly@corp.com
12,Leo,5900,10.0,3,leo@corp.com
13,Marta,11000,,4,marta@corp.com
14,Nina,9500,13.0,4,nina@corp.com
15,Otavio,9300,13.0,4,otavio@corp.com
16,Paula,4100,,5,paula@corp.com
17,Rafael,4200,16.0,5,rafael@corp.com
18,Sofia,3900,16.0,5,sofia@corp.com
19,Tiago,4300,16.0,5,tiago@corp.com
